zuj,orp,cnt,x,y,name
550949,3111,117,1141703.0669230763,788885.5063247861,Čepřovice
531626,2108,188,1070789.3675531915,791095.5303723401,Olešná
565253,4211,387,1010214.9961757103,757886.6314211884,Martiněves
596477,6115,114,1122827.8999999994,644783.7507017544,Pokojov
569976,5205,162,1032826.522592593,649741.206111111,Dohalice
567698,4201,137,993719.7909489044,779645.0191970804,Měrunice
590592,6113,151,1149740.1233774826,661315.5458940397,Heraltice
595411,6101,2468,1121274.8261750392,619559.7437641812,Bystřice nad Pernštejnem
546852,4211,120,1000923.9144166667,749705.5968333328,Černěves
554642,4105,2543,1039027.2075619313,866828.3264844686,Mariánské Lázně
560669,3112,61,1128446.8321311474,742017.2131147537,Skrýchov u Malšic
586277,6210,345,1183408.9882028985,560534.1685217393,Kostelec
567809,4213,303,980702.2680528046,770976.800462046,Rtyně nad Bílinou
593851,6220,235,1190090.3000851073,648569.4559999997,Citonice
529940,2101,203,1075728.9746305412,720115.6314778327,Kozmice
551627,3101,128,1101984.69296875,798561.3320312498,Předmíř
594644,6220,92,1193472.7577173915,650945.1981521738,Podmolí
555711,4103,169,1023180.12739645,830974.530769231,Verušičky
542296,3210,115,1092988.9106086956,830366.1374782607,Nezdice
563200,4203,344,991765.5622383718,814670.1480813957,Málkov
565512,2121,44,1037236.0156818182,801768.7184090905,Václavy
596361,6115,352,1123357.2928977278,639186.6664488631,Ostrov nad Oslavou
588067,6112,71,1149657.4694366192,676978.321971831,Urbanov
594041,6220,365,1185888.2913698624,643968.4854246574,Hluboké Mašůvky
559806,3211,227,1056886.093303965,801125.0253303963,Hlohovice
558915,3208,709,1059652.8742877285,814083.3865585327,Hromnice
560316,4107,163,1014919.0226993869,872173.5076687118,Bukovany
537691,6110,99,1126312.1515151516,698911.1782828283,Ondřejov
595527,6217,498,1140591.2612650604,614349.732871486,Dolní Loučky
561142,6110,52,1133450.3823076917,689818.1207692306,Černov
596205,6115,324,1116702.713055555,652023.4511419752,Nížkov
565539,2115,114,1014924.6906140351,712668.7009649121,Sovínky
567566,4201,539,990072.3552504636,779437.331205937,Hrobčice
505013,7107,431,1114383.2789095135,553519.0729698376,Příkazy
548189,6111,119,1099814.2624369746,686910.8823529417,Kouty
547948,6110,325,1113145.7490769238,702417.2895076921,Hořepník
538248,2122,675,1065523.343125926,723062.0490518522,Hrusice
577995,5307,714,1088293.8326050423,615800.0859663863,Dolní Újezd
569119,8119,171,1101035.30122807,484962.2266666666,Čavisov
580627,5315,384,1064292.9068750003,596733.0944010419,Lukavice
592790,7207,370,1176322.0598378377,542169.9121891895,Velehrad
533149,2109,296,1037504.0330405415,772143.3525337838,Žilina
559628,3208,547,1057308.2355393043,832156.7277696519,Všeruby
548014,5313,414,1077003.6909661836,602323.1696376817,Dlouhá Třebová
578835,5307,46,1081830.4286956524,621144.8923913044,Suchá Lhota
566578,4207,253,1017337.2889723317,790267.6547430834,Pnětluky
560499,4107,899,1019586.7317241374,875940.1824582865,Kynšperk nad Ohří
588709,7201,328,1143698.9530792688,515278.7250914637,Loukov
532576,2109,987,1030575.4557953398,767464.0832016217,Libušín
534153,2104,201,1074056.7126865666,680054.4534328356,Krchleby
567108,4206,281,966293.8174733097,794152.1210320282,Český Jiřetín
510483,8113,844,1086297.8456872036,487130.88350710925,Štěpánkovice
570745,5205,234,1044464.2464957258,654279.8529059829,Roudnice
507016,8109,2953,1094466.7664375203,476132.3002099567,Hlučín
532444,2109,413,1030413.354043582,772257.7655690063,Kačice
581038,5315,87,1065873.1350574717,593162.0971264367,Šedivec
570915,5205,73,1046331.3071232879,663304.5482191781,Stará Voda
594555,6220,296,1185389.218885135,649718.5650675673,Olbramkostel
550183,3109,186,1146735.5112365587,787006.4897311833,Dub
539171,2105,243,1038009.4881893,756817.8197119344,Dobrovíz
572764,5311,55,1065557.7005454546,660073.2730909089,Chrtníky
568848,6111,127,1099972.4661417317,688653.0101574807,Kamenná Lhota
596191,6217,163,1141664.5168711657,621920.1955214725,Níhov
537730,6110,48,1118518.4460416667,703611.0385416666,Útěchovičky
586943,6105,1808,1139759.1794413836,663714.148965707,Brtnice
569178,7104,125,1127900.73592,524882.74864,Bohuslávky
536962,3111,107,1140330.1037383173,794750.2745794391,Nišovice
530271,3206,28,1042018.8221428571,814417.919285714,Sedlec
547972,5313,78,1072972.121282051,608229.1528205128,Hrádek
568619,6111,70,1095208.8941428573,677948.85,Druhanov
578398,5312,102,1091872.7672549014,604472.2941176472,Mikuleč
573922,5201,1401,1004600.1318558159,600680.4489507494,Broumov
559431,3206,224,1051998.3478125,819939.0762946425,Rybnice
535869,2115,302,1007292.3699999999,705226.9567218545,Hrdlořezy
586668,6210,308,1187134.358311688,552724.3672402604,Těmice
535648,3102,323,1172432.8784829709,752434.967925696,Nová Ves
594946,6220,220,1190985.2909999995,634646.2224999998,Těšetice
586056,6218,188,1196365.8477659582,533969.1472872343,Blatnička
588113,6105,577,1130386.5612131697,663707.0556325819,Velký Beranov
530921,2101,314,1072265.3962420379,721373.2789171969,Vranov
599301,2106,69,1045143.2527536232,714260.2063768118,Černíky
568571,8116,99,1112200.5234343437,508901.7486868686,Heřmánky
513181,2110,57,1048755.8770175443,678610.3866666666,Dománovice
578282,5308,505,1094734.8119009899,589919.1643366328,Kunčina
537403,2119,177,1039352.9143502825,692383.6936723165,Křečkov
